"STUDENT_ID","GRAD_APPL_DATE","GRADUATION_DATE","GRADUATED_IND","TOTAL_CREDITS","DEGREE_TYPE","MAJOR","DEPARTMENT","COLLEGE","REQUIRED_HOURS","FULLY_ONLINE_IND","AID_ELIGIBLE_IND","HONORS","OVERALL_GPA"
6053497,23-APR-18  09:57 AM,06-MAY-21  12:00 AM,"N",89,"Associates","Engineering/Mechanical","Unknown","Unknown",73,"U","U","",3.633
5332847,10-AUG-17  02:27 PM,06-MAY-21  12:00 AM,"N",69,"Associates","Business Management","Business Management","Business",,"N","N","",2.357
5332847,15-DEC-16  03:46 PM,06-MAY-21  12:00 AM,"N",69,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.357
5404310,23-APR-18  03:00 PM,06-MAY-21  12:00 AM,"N",94,"Associates","Visual Arts - Design Spec.","Visual Arts & Design","Arts, Comm, & New Media",69,"N","N","",3.779
5816064,13-JAN-17  12:43 PM,06-MAY-21  12:00 AM,"N",16,"Associates","Business","Business Management","Business",61,"N","N","",1.354
4033773,07-DEC-16  01:06 PM,06-MAY-21  12:00 AM,"N",27,"Associates","Social Work","Social Work","Humanities & Social Sciences",63,"N","N","",1.387
4687986,04-MAY-17  01:11 PM,06-MAY-21  12:00 AM,"N",6,"Associates","Visual Arts - Design Spec.","Visual Arts & Design","Arts, Comm, & New Media",69,"N","N","",4
4687986,01-MAR-17  01:37 PM,06-MAY-21  12:00 AM,"N",6,"Associates","Graphic Communications","Visual Arts & Design","Arts, Comm, & New Media",,"N","N","",4
5827117,23-APR-18  09:10 AM,06-MAY-21  12:00 AM,"N",38,"Associates","Physics","Physics","Science, Math & Engineering",63,"N","N","",2.55
5578085,31-JUL-18  04:20 PM,06-MAY-21  12:00 AM,"N",62,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.826
6035808,15-DEC-17  04:12 PM,06-MAY-21  12:00 AM,"N",59,"Associates","American Sign Language","Unknown","Unknown",63,"U","U","",3.866
