"STUDENT_ID","GENDER","RACE","HISPANIC_IND","EVER_CONCURRENT_IND","EVER_PELL_ELIGIBLE_IND","FIRST_ENROLLED","TRANSFER_CREDITS"
6336689,"Female","White","Y","Y","N",21-AUG-19  12:00 AM,
1039474,"Male","White","N","N","Y",29-AUG-01  12:00 AM,
6381349,"Female","Prefer Not to Say","Y","N","Y",13-JAN-20  12:00 AM,37
1387850,"Female","White","N","N","Y",27-SEP-93  12:00 AM,
358724,"Female","White","N","N","Y",25-AUG-20  12:00 AM,
6365060,"Female","White","N","Y","N",21-AUG-19  12:00 AM,
6361525,"Female","Prefer Not to Say","Y","Y","N",21-AUG-19  12:00 AM,
1599936,"Male","White","N","N","N",26-SEP-94  12:00 AM,37
6385486,"Female","White","Y","N","Y",11-JAN-21  12:00 AM,
1040454,"Male","White","N","N","Y",23-AUG-99  12:00 AM,15
844111,"Male","White","N","N","N",23-AUG-99  12:00 AM,
729402,"Female","White","N","N","Y",19-JUN-89  12:00 AM,9
6390722,"Male","More than One","N","Y","N",,
6395678,"Male","White","N","Y","N",25-AUG-20  12:00 AM,
843796,"Female","White","N","N","N",23-AUG-17  12:00 AM,
6386053,"Female","White","Y","N","Y",22-AUG-18  12:00 AM,6
6386109,"Female","White","N","Y","N",24-AUG-21  12:00 AM,
6390932,"Female","White","N","Y","N",10-JAN-22  12:00 AM,
6364731,"Female","White","N","Y","Y",13-JAN-20  12:00 AM,
6386725,"Female","White","N","N","N",22-AUG-18  12:00 AM,
29836,"Male","White","N","N","N",12-JAN-15  12:00 AM,
1181301,"Female","White","N","N","Y",14-JAN-13  12:00 AM,
6396091,"Male","White","N","N","N",21-AUG-19  12:00 AM,
1010732,"Female","White","N","N","N",23-SEP-96  12:00 AM,
2800989,"Male","White","Y","Y","Y",25-AUG-04  12:00 AM,
6386326,"Female","More than One","N","N","Y",22-AUG-18  12:00 AM,
6335534,"Female","More than One","N","Y","N",21-AUG-19  12:00 AM,
6371955,"Female","White","Y","Y","Y",21-AUG-19  12:00 AM,
6396693,"Female","Prefer Not to Say","N","N","N",,
6387579,"Female","White","N","Y","N",,
6392353,"Male","White","N","Y","N",,
2726523,"Female","White","N","N","Y",23-AUG-17  12:00 AM,
6386963,"Female","More than One","N","Y","N",25-AUG-20  12:00 AM,6
6397057,"Male","White","N","Y","N",,
6387614,"Female","White","N","Y","N",25-AUG-20  12:00 AM,
6386774,"Male","White","N","N","N",22-AUG-18  12:00 AM,81
6392136,"Female","White","N","N","N",22-AUG-18  12:00 AM,17
6138806,"Female","White","N","N","N",22-AUG-18  12:00 AM,
989802,"Female","White","N","N","N",21-AUG-19  12:00 AM,
6386739,"Female","White","N","Y","N",25-AUG-20  12:00 AM,
6362148,"Male","White","N","Y","N",21-AUG-19  12:00 AM,
1581470,"Female","White","N","N","N",23-SEP-96  12:00 AM,
6387873,"Female","White","N","N","N",22-AUG-18  12:00 AM,
6398079,"Male","White","N","Y","N",,3
722738,"Male","White","N","N","N",,
6392703,"Female","White","N","N","N",22-AUG-18  12:00 AM,
6349100,"Female","White","N","N","Y",22-AUG-18  12:00 AM,
6327379,"Female","White","N","Y","N",21-AUG-19  12:00 AM,
618704,"Female","White","N","N","N",,30.67
2880446,"Male","White","N","N","Y",22-AUG-07  12:00 AM,
6398163,"Male","More than One","N","Y","Y",25-AUG-20  12:00 AM,
6462668,"Female","Prefer Not to Say","Y","N","Y",21-AUG-19  12:00 AM,12
2721924,"Female","More than One","N","N","Y",20-AUG-08  12:00 AM,
2851137,"Female","Prefer Not to Say","Y","Y","N",26-AUG-09  12:00 AM,
6394166,"Male","White","N","N","Y",22-AUG-18  12:00 AM,
6339209,"Male","Prefer Not to Say","Y","Y","N",21-AUG-19  12:00 AM,
6357143,"Female","White","N","Y","N",21-AUG-19  12:00 AM,
2646695,"Male","White","N","Y","N",,
6370170,"Female","Prefer Not to Say","Y","Y","Y",21-AUG-19  12:00 AM,
1062035,"Female","White","Y","N","N",30-SEP-91  12:00 AM,30
1730759,"Female","White","N","N","Y",24-AUG-11  12:00 AM,
6389294,"Female","White","Y","N","Y",21-AUG-19  12:00 AM,
6389469,"Male","White","N","N","Y",21-AUG-19  12:00 AM,
6394131,"Female","White","N","Y","N",24-AUG-21  12:00 AM,
6335177,"Female","White","N","Y","N",21-AUG-19  12:00 AM,
6331831,"Female","Prefer Not to Say","Y","Y","N",21-AUG-19  12:00 AM,13
6398793,"Female","White","N","Y","N",25-AUG-20  12:00 AM,
2695835,"Female","White","Y","N","Y",14-JAN-13  12:00 AM,0
100116,"Male","White","N","N","N",13-JAN-14  12:00 AM,34
6398800,"Male","White","N","Y","N",,0
6398870,"Female","White","N","Y","N",,
2398573,"Male","White","Y","N","Y",23-AUG-00  12:00 AM,
4493603,"Female","More than One","N","Y","N",22-AUG-12  12:00 AM,
3556660,"Female","White","N","Y","Y",20-AUG-14  12:00 AM,
2617008,"Female","White","Y","N","N",11-JAN-21  12:00 AM,4
